uid,pro_num,ac_rate,repeat_num,con_num,pass_pct
U149255,54,0.5617977528089888,1.6481481481481481,15.0,0.31753968253968257
U149302,11,0.3333333333333333,2.1818181818181817,16.0,0.8247767857142857
U149309,42,0.5365853658536586,1.9523809523809523,17.0,0.38011204481792715
U149312,31,0.5094339622641509,1.7096774193548387,16.0,0.6322172619047619
U149379,98,0.425531914893617,2.877551020408163,19.0,0.7190134426976532
U149389,15,0.38636363636363635,2.933333333333333,3.0,1.0
U149409,106,0.4810126582278481,2.2358490566037736,5.0,0.7147368421052632
U149436,30,0.64,1.6666666666666667,14.0,0.5803571428571429
U149459,8,0.6363636363636364,1.375,2.0,0.875
U149484,5,0.3,2.0,8.0,0.6235119047619048
U149514,28,0.36065573770491804,2.1785714285714284,16.0,0.3347132034632035
U149582,20,0.375,2.8,15.0,0.7742063492063491
U149610,1,0.5,2.0,0.0,0.0
U149650,3,0.2,3.3333333333333335,10.0,0.49404761904761907
U149672,21,0.5789473684210527,1.8095238095238095,15.0,0.825
U149683,55,0.504424778761062,2.0545454545454547,17.0,0.28304048892284184
U149705,14,0.5909090909090909,1.5714285714285714,13.0,0.5120879120879122
U149715,65,0.4962962962962963,2.076923076923077,18.0,0.3727873977873978
U149727,4,0.5,1.5,9.0,0.36706349206349204
U149744,34,0.19863013698630136,4.294117647058823,13.0,0.2203796203796204
U149780,40,0.2980769230769231,2.6,15.0,0.4200865800865802
U149804,2,0.6666666666666666,1.5,1.0,1.0
U149831,1,0.14285714285714285,7.0,0.0,0.0
U149846,4,0.2,1.25,10.0,0.15357142857142855
U149868,36,0.5423728813559322,1.6388888888888888,17.0,0.3679271708683473
U149890,29,0.6290322580645161,2.1379310344827585,16.0,0.6491815476190477
U149937,25,0.29508196721311475,2.44,17.0,0.22509549274255153
U149984,3,0.2,3.3333333333333335,9.0,0.45701058201058203
U150012,6,0.11764705882352941,5.666666666666667,12.0,0.1348575036075036
U150017,18,0.3148148148148148,3.0,12.0,0.6200396825396826
U150020,75,0.4247787610619469,3.013333333333333,13.0,0.30925740925740924
U150098,5,0.5,1.2,14.0,0.8227040816326531
U150113,14,0.13513513513513514,5.285714285714286,16.0,0.10956439393939392
U150117,45,0.5747126436781609,1.9333333333333333,4.0,0.7796052631578947
U150159,19,0.5208333333333334,2.526315789473684,3.0,0.6666666666666666
U150177,14,0.3142857142857143,2.5,14.0,0.1409709338280767
U150210,3,0.375,2.6666666666666665,15.0,0.632936507936508
U150215,11,0.6190476190476191,1.9090909090909092,0.0,0.0
U150216,26,0.7105263157894737,1.4615384615384615,14.0,0.569047619047619
U150256,53,0.5425531914893617,1.7735849056603774,12.0,0.6850198412698413
U150313,9,0.47368421052631576,2.111111111111111,0.0,0.0
U150322,19,0.5675675675675675,1.9473684210526316,2.0,1.0
U150334,1,1.0,1.0,15.0,0.751984126984127
U150420,1,0.0,6.0,10.0,0.6047619047619047
U150427,41,0.33695652173913043,2.2439024390243905,16.0,0.4281385281385281
