3858	5144	1	1
3859	5061	1	1
3873	5144	1	1
3876	5144	1	1
3881	5129	1	1
3882	5129	1	1
3884	5144	1	1
3900	5074	1	1
3904	5061	1	1
3906	5129	1	1
3918	5129	1	1
3922	5126	1	1
3922	5129	1	1
3922	5144	1	1
3923	5129	1	1
3924	5061	1	1
3928	5061	1	1
3932	5144	1	1
3938	5144	1	1
3945	5126	1	1
3947	5144	1	1
3948	5126	1	1
3953	5144	1	1
3956	5126	1	1
3957	5126	1	1
3961	5144	1	1
3966	5061	1	1
3968	5061	1	1
3972	5061	1	1
3982	5129	1	1
3983	5074	1	1
3984	5074	1	1
3985	5144	1	1
3987	5129	1	1
3987	5144	1	1
3988	5129	1	1
3988	5144	1	1
3992	5126	1	1
3995	5061	1	1
3996	5126	1	1
3998	5126	1	1
3999	5129	1	1
3999	5144	1	1
4005	5144	1	1
4017	5144	1	1
4018	5061	1	1
4022	5129	1	1
4027	5061	1	1
4031	5144	1	1
4032	5061	1	1
4032	5144	1	1
4038	5061	1	1
4040	5074	1	1
4043	5144	1	1
4052	5129	1	1
4060	5061	1	1
4067	5126	1	1
4073	5061	1	1
4079	5061	1	1
4081	5074	1	1
4083	5061	1	1
4092	5126	1	1
4093	5061	1	1
4098	5126	1	1
4099	5061	1	1
4106	5144	1	1
4109	5061	1	1
4111	5061	1	1
4117	5074	1	1
4118	5074	1	1
4126	5061	1	1
4128	5126	1	1
4131	5144	1	1
4134	5126	1	1
4137	5061	1	1
4138	5061	1	1
4141	5074	1	1
4143	5061	1	1
4151	5144	1	1
4152	5061	1	1
4159	5061	1	1
4161	5144	1	1
4162	5074	1	1
4169	5126	1	1
4180	5144	1	1
4183	5144	1	1
4185	5144	1	1
4190	5074	1	1
4191	5061	1	1
4193	5126	1	1
4197	5144	1	1
4205	5144	1	1
4207	5061	1	1
4212	5074	1	1
4214	5061	1	1
4216	5074	1	1
4218	5144	1	1
4222	5061	1	1
4226	5129	1	1
4230	5061	1	1
4230	5129	1	1
4236	5074	1	1
4237	5074	1	1
4244	5061	1	1
4246	5061	1	1
4252	5144	1	1
4254	5061	1	1
4259	5074	1	1
4265	5061	1	1
4274	5061	1	1
4275	5061	1	1
4279	5126	1	1
4280	5061	1	1
4282	5126	1	1
4286	5061	1	1
4291	5061	1	1
4300	5129	1	1
4308	5144	1	1
4310	5061	1	1
4314	5144	1	1
4318	5061	1	1
4320	5144	1	1
4322	5126	1	1
4326	5129	1	1
4327	5074	1	1
4328	5074	1	1
4329	5126	1	1
4329	5129	1	1
4331	5126	1	1
4333	5144	1	1
4336	5074	1	1
4337	5129	1	1
4337	5144	1	1
4339	5144	1	1
4350	5126	1	1
4351	5061	1	1
4362	5061	1	1
4366	5144	1	1
4369	5061	1	1
4371	5074	1	1
4373	5061	1	1
4376	5074	1	1
4379	5144	1	1
4386	5074	1	1
4388	5126	1	1
4388	5129	1	1
4396	5129	1	1
4398	5126	1	1
4401	5061	1	1
4402	5074	1	1
4406	5144	1	1
4407	5061	1	1
4411	5061	1	1
4412	5061	1	1
4417	5144	1	1
4418	5144	1	1
4426	5126	1	1
4426	5144	1	1
4431	5074	1	1
4433	5144	1	1
4434	5126	1	1
4435	5061	1	1
4435	5074	1	1
4435	5144	1	1
4441	5126	1	1
4447	5129	1	1
4450	5061	1	1
4454	5126	1	1
4454	5129	1	1
4456	5061	1	1
4457	5129	1	1
4460	5129	1	1
4461	5129	1	1
4464	5126	1	1
4466	5126	1	1
4473	5129	1	1
4474	5061	1	1
4476	5061	1	1
4479	5129	1	1
4480	5061	1	1
4493	5129	1	1
4498	5144	1	1
4499	5061	1	1
4503	5129	1	1
4505	5126	1	1
4506	5144	1	1
4507	5126	1	1
4510	5144	1	1
4512	5126	1	1
4513	5144	1	1
4514	5126	1	1
4518	5129	1	1
4520	5129	1	1
4524	5061	1	1
4531	5144	1	1
4538	5061	1	1
4540	5129	1	1
4542	5144	1	1
4545	5144	1	1
4552	5144	1	1
4553	5144	1	1
4554	5074	1	1
4560	5129	1	1
4562	5074	1	1
4565	5061	1	1
